order_id,user_id,age_group,city,province,region,product_id,product_name,category,brand,supplier,price,cost,quantity,discount,coupon_amount,payment_method,sales_channel,traffic_source,campaign_name,device_type,store_id,store_type,order_date,order_hour,is_returned,return_reason,delivery_days,customer_rating,user_gender,user_age,user_level,ab_group,shipping_fee,marketing_cost
AI00000001,U01163,41-50,上海,上海,华东,P025,面膜,美妆个护,FreshMe,广州美妆供应链,57.04,34.07,1,0.99,0.0,微信支付,网页商城,老客复购,日常,iOS,S022,仓储店,2025-09-10,20,1,质量问题,4,3.0,女,42,普通会员,B,12.0,17.73
AI00000002,U00444,41-50,深圳,广东,华南,P024,文件夹,图书文具,OfficeKit,大连办公用品,10.4,5.17,2,0.9,0.0,信用卡,第三方平台,自然搜索,日常,iOS,S003,校园店,2025-03-18,19,0,未退货,2,5.0,男,42,普通会员,A,0.0,33.84
AI00000003,U01388,31-40,沈阳,辽宁,东北,P024,文件夹,图书文具,OfficeKit,大连办公用品,6.71,3.64,2,0.81,0.0,银行卡,手机APP,校园社群,双十一,iOS,S010,仓储店,2025-11-09,10,0,未退货,3,4.0,女,34,普通会员,A,0.0,40.58
AI00000004,U00974,41-50,沈阳,辽宁,东北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,332.84,201.24,1,0.99,0.0,微信支付,手机APP,老客复购,日常,Android,S015,校园店,2025-04-11,13,0,未退货,2,5.0,女,48,新客,A,10.0,26.06
AI00000005,U00035,41-50,天津,天津,华北,P006,显示器,电脑办公,ViewStar,青岛海新显示,1208.3,741.7,1,0.86,20.0,校园卡,手机APP,短视频,日常,iOS,S020,仓储店,2025-02-09,14,0,未退货,4,5.0,男,41,金卡会员,B,6.0,30.39
AI00000006,U01726,23-30,成都,四川,西南,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,16.9,7.41,3,1.0,10.0,微信支付,网页商城,信息流广告,日常,iOS,S003,校园店,2025-10-08,23,0,未退货,2,4.0,女,23,金卡会员,A,8.0,25.73
AI00000007,U01130,41-50,大连,辽宁,东北,P018,咖啡,食品饮料,BeanGo,云南咖啡供应链,36.51,21.17,1,0.9,10.0,信用卡,线下门店,线下到店,日常,门店收银,S015,旗舰店,2025-12-31,15,0,未退货,0,5.0,男,42,学生会员,A,0.0,13.57
AI00000008,U01194,41-50,沈阳,辽宁,东北,P010,双肩包,生活用品,CampusBag,广州行者箱包,109.88,72.37,1,0.97,20.0,校园卡,手机APP,校园社群,日常,PC,S030,校园店,2026-05-08,19,0,未退货,2,4.0,男,46,普通会员,A,12.0,26.9
AI00000009,U00058,31-40,成都,四川,西南,P008,打印机,电脑办公,PrintOne,南京云印科技,663.93,323.86,1,1.0,0.0,支付宝,线下门店,线下到店,日常,门店收银,S032,商场店,2026-03-23,14,0,未退货,0,4.0,女,33,普通会员,A,0.0,10.91
AI00000010,U00464,41-50,成都,四川,西南,P008,打印机,电脑办公,PrintOne,南京云印科技,947.81,548.74,1,1.0,0.0,支付宝,线下门店,线下到店,日常,门店收银,S032,商场店,2026-05-10,20,0,未退货,0,5.0,男,49,金卡会员,A,0.0,9.0
AI00000011,U00334,31-40,沈阳,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,33.07,18.36,2,0.89,0.0,银行卡,直播间,直播推荐,日常,Android,S037,社区店,2026-03-08,21,0,未退货,2,4.0,男,32,新客,A,6.0,72.23
AI00000012,U01581,41-50,广州,广东,华南,P027,电动牙刷,美妆个护,SmileTech,深圳个护科技,168.12,112.3,2,0.95,0.0,银行卡,手机APP,校园社群,日常,PC,S010,旗舰店,2026-01-31,19,0,未退货,1,5.0,男,41,新客,B,6.0,40.98
AI00000013,U00850,41-50,深圳,广东,华南,P004,移动硬盘,数码配件,DataBox,上海存储工贸,565.77,312.79,1,1.0,0.0,微信支付,第三方平台,短视频,日常,Android,S010,社区店,2025-01-07,21,0,未退货,3,4.0,女,42,普通会员,A,10.0,45.38
AI00000014,U01290,31-40,杭州,浙江,华东,P001,无线鼠标,数码配件,LogiMax,大连智采供应链,78.7,54.64,3,0.92,10.0,微信支付,第三方平台,自然搜索,日常,PC,S034,校园店,2025-12-12,19,1,商品与描述不符,2,3.0,女,37,金卡会员,A,10.0,25.18
AI00000015,U00452,31-40,天津,天津,华北,P022,笔记本,图书文具,NotePlus,义乌文具厂,13.34,8.17,2,0.94,10.0,信用卡,手机APP,老客复购,日常,PC,S005,社区店,2025-03-19,17,0,未退货,2,5.0,女,37,普通会员,A,8.0,26.9
AI00000016,U00147,31-40,青岛,山东,华东,P002,机械键盘,数码配件,KeyPro,沈阳北方电子,150.54,88.4,1,0.94,0.0,银行卡,手机APP,短视频,日常,Android,S012,商场店,2025-02-07,21,0,未退货,2,5.0,男,39,学生会员,B,8.0,25.76
AI00000017,U00660,31-40,沈阳,辽宁,东北,P007,办公椅,电脑办公,WorkLife,杭州森木家具,607.99,311.13,3,0.99,0.0,银行卡,直播间,直播推荐,日常,Android,S016,社区店,2025-04-11,8,0,未退货,2,5.0,男,37,新客,A,8.0,48.06
AI00000018,U00019,31-40,沈阳,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,34.39,20.53,2,0.88,10.0,银行卡,直播间,直播推荐,日常,Android,S037,社区店,2026-04-18,22,0,未退货,2,4.0,女,36,学生会员,B,0.0,91.13
AI00000019,U01304,31-40,武汉,湖北,华中,P007,办公椅,电脑办公,WorkLife,杭州森木家具,1208.76,564.19,2,0.99,0.0,校园卡,手机APP,自然搜索,日常,PC,S016,仓储店,2026-02-26,20,0,未退货,7,4.0,女,39,银卡会员,A,8.0,34.52
AI00000020,U00823,18-22,南京,江苏,华东,P024,文件夹,图书文具,OfficeKit,大连办公用品,9.08,4.96,4,0.79,11.48,微信支付,网页商城,信息流广告,618大促,PC,S036,社区店,2026-06-13,21,0,未退货,3,5.0,男,18,普通会员,B,12.0,27.14
AI00000021,U01122,41-50,沈阳,辽宁,东北,P007,办公椅,电脑办公,WorkLife,杭州森木家具,841.47,428.85,2,0.82,0.0,银行卡,直播间,直播推荐,618大促,Android,S016,社区店,2026-06-19,14,1,尺码不合适,6,2.0,女,50,银卡会员,A,10.0,87.88
AI00000022,U00310,31-40,天津,天津,华北,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,11.31,6.99,4,0.81,5.0,支付宝,直播间,短视频,618大促,Android,S040,社区店,2026-06-01,19,0,未退货,6,5.0,男,31,普通会员,A,6.0,55.34
