order_id,user_id,user_gender,user_age,age_group,user_level,city,province,region,product_id,product_name,category,brand,supplier,price,cost,quantity,discount,coupon_amount,payment_method,sales_channel,traffic_source,campaign_name,device_type,store_id,store_type,order_date,order_hour,is_returned,return_reason,delivery_days,customer_rating
O00000001,U08329,女,37,31-40,金卡会员,天津,天津,华北,P012,洗衣液,生活用品,CleanDay,天津日化厂,43.91,25.71,2,0.85,0,信用卡,线上商城,自然搜索,无活动,iOS,S039,社区店,2026-02-21,14,0,,2,5
O00000002,U04713,女,40,31-40,普通会员,沈阳,辽宁,东北,P007,办公椅,电脑办公,WorkLife,杭州森木家具,749.23,394.62,1,1.0,0,银行卡,直播间,直播推荐,无活动,Android,S016,社区店,2026-03-15,21,0,,2,5
O00000003,U04338,男,38,31-40,学生会员,杭州,浙江,华东,P001,无线鼠标,数码配件,LogiMax,大连智采供应链,64.88,37.08,3,0.95,0,微信支付,第三方平台,自然搜索,无活动,PC,S034,校园店,2026-02-26,18,0,,2,5
O00000004,U04862,女,27,23-30,新客,广州,广东,华南,P021,教材,图书文具,学知书局,北京图书批发,54.78,38.62,2,0.9,5,微信支付,手机App,信息流广告,新人券,Android,S035,旗舰店,2026-05-02,16,0,,2,4
O00000005,U03739,女,40,31-40,新客,北京,北京,华北,P024,文件夹,图书文具,OfficeKit,大连办公用品,9.75,2.89,1,0.85,0,微信支付,线下门店,线下到店,618大促,门店收银,S025,商场店,2026-03-06,12,0,,1,4
O00000006,U00289,男,19,18-22,普通会员,沈阳,辽宁,东北,P002,机械键盘,数码配件,KeyPro,沈阳北方电子,186.46,112.1,3,1.0,0,支付宝,线上商城,自然搜索,开学季,PC,S001,商场店,2026-05-23,18,0,,4,4
O00000007,U08744,女,19,18-22,新客,成都,四川,西南,P009,保温杯,生活用品,WarmCup,大连优品贸易,39.25,17.12,2,1.0,0,支付宝,线上商城,老客复购,无活动,Android,S029,校园店,2026-04-24,11,0,,2,5
O00000008,U04394,男,41,41+,银卡会员,沈阳,辽宁,东北,P001,无线鼠标,数码配件,LogiMax,大连智采供应链,64.32,35.36,2,0.8,0,校园卡,手机App,校园社群,无活动,PC,S023,仓储店,2026-03-09,14,0,,2,4
O00000009,U06008,女,44,41+,新客,沈阳,辽宁,东北,P027,电动牙刷,美妆个护,SmileTech,深圳个护科技,203.68,101.53,1,1.0,10,校园卡,线下门店,线下到店,城市专享,门店收银,S034,商场店,2026-02-08,14,1,买错商品,6,1
O00000010,U02525,女,20,18-22,普通会员,大连,辽宁,东北,P010,双肩包,生活用品,CampusBag,广州行者箱包,122.3,61.48,3,0.9,5,微信支付,线下门店,线下到店,新人券,门店收银,S010,校园店,2026-04-02,9,0,,6,4
O00000011,U08525,男,22,18-22,新客,沈阳,辽宁,东北,P005,笔记本电脑,电脑办公,NorthBook,北京星辰科技,5208.1,3816.58,5,0.85,0,信用卡,线上商城,自然搜索,直播秒杀,PC,S008,仓储店,2026-02-25,18,0,,2,4
O00000012,U00425,男,21,18-22,银卡会员,天津,天津,华北,P010,双肩包,生活用品,CampusBag,广州行者箱包,128.8,68.28,1,0.9,5,信用卡,直播间,直播推荐,直播秒杀,Android,S032,旗舰店,2026-05-29,22,0,,2,5
O00000013,U00649,女,19,18-22,普通会员,成都,四川,西南,P004,移动硬盘,数码配件,DataBox,上海存储工贸,410.94,264.31,1,0.85,0,微信支付,线上商城,校园社群,无活动,PC,S010,旗舰店,2026-06-29,22,0,,3,5
O00000014,U02307,男,21,18-22,普通会员,沈阳,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,36.94,18.02,2,0.95,0,校园卡,线上商城,信息流广告,无活动,PC,S025,校园店,2026-02-06,11,0,,2,5
O00000015,U01750,男,34,31-40,学生会员,沈阳,辽宁,东北,P024,文件夹,图书文具,OfficeKit,大连办公用品,8.61,2.99,4,0.9,0,银行卡,手机App,校园社群,618大促,iOS,S010,仓储店,2026-06-23,8,0,,1,5
O00000016,U01005,男,29,23-30,普通会员,沈阳,辽宁,东北,P017,牛奶,食品饮料,北纬牧场,辽宁乳业,61.08,46.41,1,0.95,10,支付宝,线下门店,线下到店,直播秒杀,门店收银,S016,仓储店,2026-05-15,18,0,,3,3
O00000017,U05117,女,27,23-30,金卡会员,大连,辽宁,东北,P014,运动外套,服饰运动,MovePro,上海服饰集团,319.58,146.01,2,0.95,20,银行卡,线上商城,老客复购,会员日,PC,S015,社区店,2026-02-03,22,0,,2,5
O00000018,U07926,女,20,18-22,普通会员,大连,辽宁,东北,P028,护手霜,美妆个护,SoftHand,杭州美护用品,31.24,11.51,2,0.85,0,微信支付,手机App,信息流广告,无活动,PC,S013,旗舰店,2026-05-28,20,0,,3,4
O00000019,U00556,男,46,41+,普通会员,杭州,浙江,华东,P018,咖啡,食品饮料,BeanGo,云南咖啡供应链,50.88,25.29,4,1.0,20,校园卡,线上商城,校园社群,开学季,iOS,S012,商场店,2026-04-07,17,0,,2,5
O00000020,U08890,女,39,31-40,金卡会员,天津,天津,华北,P026,洗面奶,美妆个护,CleanFace,上海日化贸易,53.61,22.77,1,0.95,0,信用卡,直播间,直播推荐,会员日,PC,S016,社区店,2026-02-15,16,0,,7,4
O00000021,U02759,男,21,18-22,普通会员,成都,四川,西南,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,13.66,6.35,2,1.0,5,微信支付,线上商城,信息流广告,城市专享,iOS,S003,校园店,2026-02-08,18,0,,3,4
O00000022,U07955,女,31,31-40,金卡会员,天津,天津,华北,P022,笔记本,图书文具,NotePlus,义乌文具厂,12.76,5.09,1,0.9,0,信用卡,手机App,老客复购,无活动,PC,S005,社区店,2026-02-07,18,0,,6,4
O00000023,U07050,男,38,31-40,普通会员,成都,四川,西南,P012,洗衣液,生活用品,CleanDay,天津日化厂,49.37,25.34,1,0.85,0,信用卡,线下门店,线下到店,城市专享,门店收银,S007,仓储店,2026-04-03,18,0,,1,5
O00000024,U00609,男,25,23-30,普通会员,深圳,广东,华南,P004,移动硬盘,数码配件,DataBox,上海存储工贸,430.88,253.58,1,0.9,0,微信支付,第三方平台,短视频,开学季,Android,S010,社区店,2026-03-01,13,0,,3,4
O00000025,U03179,女,31,31-40,银卡会员,大连,辽宁,东北,P019,坚果礼盒,食品饮料,NutPlus,杭州食品贸易,158.4,88.11,2,0.85,20,微信支付,线上商城,信息流广告,新人券,iOS,S027,仓储店,2026-02-19,22,0,,4,4
O00000026,U05843,男,24,23-30,普通会员,上海,上海,华东,P005,笔记本电脑,电脑办公,NorthBook,北京星辰科技,5526.23,4250.63,1,0.85,20,银行卡,线下门店,线下到店,直播秒杀,门店收银,S003,校园店,2026-06-08,21,0,,5,2
O00000027,U05490,女,22,18-22,银卡会员,北京,北京,华北,P016,篮球,服饰运动,CourtStar,青岛体育用品,96.69,44.15,1,0.95,5,微信支付,第三方平台,自然搜索,618大促,Android,S005,旗舰店,2026-04-25,22,0,,1,5
O00000028,U07166,女,22,18-22,新客,天津,天津,华北,P027,电动牙刷,美妆个护,SmileTech,深圳个护科技,196.67,105.02,6,0.9,10,微信支付,手机App,短视频,城市专享,PC,S027,商场店,2026-03-27,11,0,,2,4
O00000029,U01005,男,24,23-30,新客,大连,辽宁,东北,P024,文件夹,图书文具,OfficeKit,大连办公用品,9.73,3.12,1,0.95,5,信用卡,线下门店,线下到店,城市专享,门店收银,S027,商场店,2026-06-26,20,0,,1,5
O00000030,U03905,女,30,23-30,银卡会员,武汉,湖北,华中,P007,办公椅,电脑办公,WorkLife,杭州森木家具,763.91,397.45,2,0.9,10,校园卡,手机App,自然搜索,618大促,PC,S016,仓储店,2026-01-08,9,0,,1,4
O00000031,U00030,女,21,18-22,金卡会员,上海,上海,华东,P008,打印机,电脑办公,PrintOne,南京云印科技,931.57,637.24,1,0.95,0,银行卡,线上商城,信息流广告,无活动,iOS,S027,社区店,2026-03-19,12,0,,2,5
O00000032,U04314,未知,27,23-30,普通会员,武汉,湖北,华中,P009,保温杯,生活用品,WarmCup,大连优品贸易,40.07,17.14,2,1.0,5,校园卡,线下门店,线下到店,会员日,门店收银,S033,商场店,2026-01-31,12,0,,1,5
O00000033,U00105,女,44,41+,新客,大连,辽宁,东北,P028,护手霜,美妆个护,SoftHand,杭州美护用品,32.21,10.97,3,0.85,0,银行卡,手机App,老客复购,无活动,PC,S009,旗舰店,2026-04-19,9,0,,1,5
O00000034,U07583,女,19,18-22,银卡会员,武汉,湖北,华中,P005,笔记本电脑,电脑办公,NorthBook,北京星辰科技,5717.57,4031.62,4,0.95,10,支付宝,线上商城,老客复购,618大促,Android,S032,社区店,2026-03-11,14,0,,5,3
O00000035,U08383,男,35,31-40,普通会员,杭州,浙江,华东,P022,笔记本,图书文具,NotePlus,义乌文具厂,12.07,4.77,2,0.85,10,微信支付,直播间,校园社群,直播秒杀,iOS,S009,社区店,2026-03-18,13,0,,1,5
O00000036,U03824,女,27,23-30,新客,大连,辽宁,东北,P017,牛奶,食品饮料,北纬牧场,辽宁乳业,62.42,50.38,5,0.95,0,银行卡,线下门店,线下到店,无活动,门店收银,S040,校园店,2026-04-05,19,0,,3,3
O00000037,U06984,男,20,18-22,普通会员,深圳,广东,华南,P004,移动硬盘,数码配件,DataBox,上海存储工贸,359.71,236.56,1,0.95,0,微信支付,线下门店,线下到店,无活动,门店收银,S034,社区店,2026-06-10,11,0,,2,5
O00000038,U08597,男,32,31-40,新客,南京,江苏,华东,P024,文件夹,图书文具,OfficeKit,大连办公用品,9.9,2.84,1,0.95,0,微信支付,线上商城,信息流广告,无活动,PC,S036,社区店,2026-01-21,20,0,,2,5
O00000039,U00046,女,36,31-40,普通会员,大连,辽宁,东北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,428.29,215.27,6,0.85,100,信用卡,手机App,老客复购,直播秒杀,Android,S021,商场店,2026-02-22,20,0,,4,4
O00000040,U07447,男,29,23-30,学生会员,杭州,浙江,华东,P028,护手霜,美妆个护,SoftHand,杭州美护用品,26.16,11.24,1,0.8,0,信用卡,线上商城,信息流广告,无活动,iOS,S033,校园店,2026-05-14,17,0,,5,4
O00000041,U03131,未知,20,18-22,学生会员,青岛,山东,华东,P021,教材,图书文具,学知书局,北京图书批发,62.21,36.89,5,0.9,5,微信支付,第三方平台,自然搜索,直播秒杀,iOS,S030,校园店,2026-05-31,17,0,,2,4
O00000042,U00059,女,29,23-30,学生会员,天津,天津,华北,P009,保温杯,生活用品,WarmCup,大连优品贸易,38.07,17.84,6,1.0,10,银行卡,手机App,信息流广告,会员日,Android,S031,商场店,2026-04-30,19,0,,2,5
O00000043,U00303,女,23,23-30,普通会员,深圳,广东,华南,P008,打印机,电脑办公,PrintOne,南京云印科技,966.7,635.43,1,1.0,0,校园卡,手机App,老客复购,无活动,Android,S037,仓储店,2026-03-22,21,0,,4,3
O00000044,U04515,女,45,41+,普通会员,成都,四川,西南,P014,运动外套,服饰运动,MovePro,上海服饰集团,308.34,148.39,3,0.95,0,银行卡,手机App,老客复购,无活动,Android,S008,校园店,2026-01-18,16,0,,3,3
O00000045,U01114,男,20,18-22,普通会员,北京,北京,华北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,414.68,218.66,1,0.9,5,信用卡,第三方平台,信息流广告,城市专享,iOS,S037,校园店,2026-02-14,10,0,,4,5
O00000046,U02921,未知,45,41+,银卡会员,杭州,浙江,华东,P013,运动鞋,服饰运动,RunFast,福建运动工厂,452.63,202.4,3,1.0,5,银行卡,第三方平台,老客复购,开学季,Android,S006,社区店,2026-05-11,16,0,,3,5
O00000047,U02267,男,46,41+,普通会员,大连,辽宁,东北,P016,篮球,服饰运动,CourtStar,青岛体育用品,108.1,43.87,1,0.9,0,银行卡,手机App,老客复购,会员日,Android,S014,仓储店,2026-05-15,18,0,,6,2
O00000048,U01678,男,23,23-30,金卡会员,大连,辽宁,东北,P001,无线鼠标,数码配件,LogiMax,大连智采供应链,60.17,36.14,1,1.0,0,支付宝,手机App,信息流广告,无活动,iOS,S007,仓储店,2026-03-17,22,0,,1,4
O00000049,U06190,女,18,18-22,银卡会员,沈阳,辽宁,东北,P010,双肩包,生活用品,CampusBag,广州行者箱包,127.24,64.88,1,0.95,100,银行卡,手机App,自然搜索,新人券,PC,S027,仓储店,2026-03-15,21,0,,3,5
O00000050,U01750,女,22,18-22,普通会员,上海,上海,华东,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,11.1,6.02,1,0.85,5,校园卡,手机App,自然搜索,开学季,iOS,S038,商场店,2026-02-18,10,0,,3,4
O00000051,U02400,女,22,18-22,普通会员,北京,北京,华北,P017,牛奶,食品饮料,北纬牧场,辽宁乳业,60.48,50.64,2,1.0,0,支付宝,线下门店,线下到店,无活动,门店收银,S002,仓储店,2026-06-09,14,0,,3,3
O00000052,U01810,男,28,23-30,新客,上海,上海,华东,P025,面膜,美妆个护,FreshMe,广州美妆供应链,69.48,27.1,1,0.95,0,微信支付,线上商城,老客复购,618大促,iOS,S022,仓储店,2026-06-09,19,0,,1,4
O00000053,U08167,男,24,23-30,银卡会员,青岛,山东,华东,P002,机械键盘,数码配件,KeyPro,沈阳北方电子,184.27,112.87,3,1.0,20,银行卡,手机App,短视频,新人券,Android,S012,商场店,2026-06-17,18,0,,5,4
O00000054,U06210,女,22,18-22,银卡会员,青岛,山东,华东,P010,双肩包,生活用品,CampusBag,广州行者箱包,144.11,68.16,2,0.85,0,支付宝,手机App,自然搜索,会员日,Android,S015,商场店,2026-01-28,13,0,,3,4
O00000055,U00684,男,40,31-40,银卡会员,上海,上海,华东,P009,保温杯,生活用品,WarmCup,大连优品贸易,40.05,17.88,1,0.85,0,校园卡,手机App,自然搜索,618大促,Android,S013,旗舰店,2026-01-31,11,0,,5,3
O00000056,U00648,男,22,18-22,银卡会员,大连,辽宁,东北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,373.83,211.75,1,1.0,5,校园卡,第三方平台,自然搜索,会员日,Android,S017,校园店,2026-01-27,10,0,,3,5
O00000057,U01049,女,20,18-22,新客,深圳,广东,华南,P021,教材,图书文具,学知书局,北京图书批发,63.67,36.55,1,1.0,10,微信支付,线上商城,信息流广告,新人券,PC,S012,旗舰店,2026-05-16,23,0,,5,4
O00000058,U08935,女,39,31-40,学生会员,北京,北京,华北,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,11.66,5.95,2,0.85,0,微信支付,线上商城,自然搜索,无活动,iOS,S027,校园店,2026-06-16,18,0,,1,4
O00000059,U00990,男,22,18-22,普通会员,北京,北京,华北,P002,机械键盘,数码配件,KeyPro,沈阳北方电子,179.51,123.26,5,0.95,0,微信支付,线上商城,老客复购,无活动,PC,S032,商场店,2026-04-19,21,0,,2,4
O00000060,U08729,女,22,18-22,银卡会员,广州,广东,华南,P011,台灯,生活用品,LightHome,宁波明照电器,95.38,46.03,1,0.95,5,银行卡,线上商城,老客复购,会员日,iOS,S013,商场店,2026-04-11,19,0,,3,5
O00000061,U07141,男,23,23-30,普通会员,天津,天津,华北,P006,显示器,电脑办公,ViewStar,青岛海新显示,1395.84,883.91,3,0.8,0,校园卡,手机App,短视频,无活动,iOS,S020,仓储店,2026-02-24,22,0,,3,4
O00000062,U07221,男,19,18-22,普通会员,成都,四川,西南,P002,机械键盘,数码配件,KeyPro,沈阳北方电子,199.28,116.53,1,1.0,5,支付宝,第三方平台,自然搜索,新人券,iOS,S019,社区店,2026-05-19,21,0,,1,5
O00000063,U01154,男,21,18-22,银卡会员,深圳,广东,华南,P009,保温杯,生活用品,WarmCup,大连优品贸易,42.93,18.5,1,0.95,0,银行卡,线上商城,自然搜索,无活动,PC,S037,校园店,2026-01-07,11,0,,4,5
O00000064,U00476,男,30,23-30,金卡会员,天津,天津,华北,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,13.45,6.27,1,0.8,0,支付宝,直播间,短视频,城市专享,Android,S040,社区店,2026-03-24,22,0,,3,4
O00000065,U06165,男,25,23-30,新客,北京,北京,华北,P028,护手霜,美妆个护,SoftHand,杭州美护用品,28.5,11.38,4,1.0,0,校园卡,线下门店,线下到店,无活动,门店收银,S008,商场店,2026-01-09,12,1,物流破损,2,1
O00000066,U04689,男,18,18-22,银卡会员,北京,北京,华北,P011,台灯,生活用品,LightHome,宁波明照电器,99.9,46.22,1,1.0,0,校园卡,手机App,短视频,无活动,PC,S025,校园店,2026-02-17,15,0,,3,4
O00000067,U04404,男,26,23-30,新客,青岛,山东,华东,P014,运动外套,服饰运动,MovePro,上海服饰集团,285.88,154.75,1,0.95,20,校园卡,手机App,短视频,新人券,Android,S019,商场店,2026-02-22,19,0,,5,4
O00000068,U05155,女,32,31-40,普通会员,大连,辽宁,东北,P020,能量饮料,食品饮料,PowerUp,广州饮品公司,13.57,5.88,1,0.95,0,支付宝,手机App,老客复购,会员日,PC,S005,社区店,2026-01-30,12,0,,1,5
O00000069,U08821,未知,24,23-30,普通会员,广州,广东,华南,P016,篮球,服饰运动,CourtStar,青岛体育用品,99.93,43.63,1,0.9,0,信用卡,手机App,信息流广告,无活动,iOS,S040,校园店,2026-02-15,19,0,,4,3
O00000070,U04539,女,28,23-30,银卡会员,大连,辽宁,东北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,364.81,210.32,1,0.8,0,微信支付,手机App,老客复购,618大促,PC,S001,旗舰店,2026-01-31,22,0,,4,3
O00000071,U04671,男,30,23-30,金卡会员,天津,天津,华北,P016,篮球,服饰运动,CourtStar,青岛体育用品,97.28,42.55,1,0.85,10,信用卡,手机App,老客复购,直播秒杀,Android,S017,旗舰店,2026-04-09,22,0,,1,5
O00000072,U01613,女,39,31-40,金卡会员,沈阳,辽宁,东北,P013,运动鞋,服饰运动,RunFast,福建运动工厂,373.37,198.76,4,0.85,20,微信支付,手机App,老客复购,会员日,Android,S015,校园店,2026-01-09,16,0,,1,5
O00000073,U00298,男,31,31-40,普通会员,南京,江苏,华东,P013,运动鞋,服饰运动,RunFast,福建运动工厂,372.16,214.72,3,0.95,0,信用卡,直播间,直播推荐,无活动,PC,S014,商场店,2026-01-09,19,0,,2,5
O00000074,U05812,女,22,18-22,普通会员,沈阳,辽宁,东北,P027,电动牙刷,美妆个护,SmileTech,深圳个护科技,189.11,101.67,1,0.95,0,微信支付,线上商城,校园社群,无活动,iOS,S003,校园店,2026-04-06,12,0,,2,4
O00000075,U01231,女,45,41+,普通会员,成都,四川,西南,P008,打印机,电脑办公,PrintOne,南京云印科技,802.91,650.23,1,0.95,0,支付宝,线下门店,线下到店,无活动,门店收银,S032,商场店,2026-04-02,13,0,,1,5
O00000076,U04604,男,25,23-30,学生会员,大连,辽宁,东北,P021,教材,图书文具,学知书局,北京图书批发,61.6,40.15,5,0.95,0,校园卡,直播间,直播推荐,直播秒杀,PC,S018,商场店,2026-06-17,20,0,,4,5
O00000077,U01732,男,23,23-30,学生会员,大连,辽宁,东北,P028,护手霜,美妆个护,SoftHand,杭州美护用品,27.75,10.42,1,1.0,0,校园卡,第三方平台,老客复购,无活动,PC,S026,旗舰店,2026-03-20,23,0,,3,4
O00000078,U01766,女,28,23-30,普通会员,沈阳,辽宁,东北,P024,文件夹,图书文具,OfficeKit,大连办公用品,8.44,3.17,5,0.9,0,校园卡,手机App,信息流广告,无活动,iOS,S037,旗舰店,2026-02-01,19,0,,4,4
O00000079,U04079,女,18,18-22,新客,武汉,湖北,华中,P028,护手霜,美妆个护,SoftHand,杭州美护用品,29.92,11.25,1,1.0,0,校园卡,线下门店,线下到店,开学季,门店收银,S035,仓储店,2026-05-27,18,0,,5,4
O00000080,U08737,男,18,18-22,银卡会员,大连,辽宁,东北,P009,保温杯,生活用品,WarmCup,大连优品贸易,42.09,17.16,1,0.85,0,校园卡,手机App,短视频,无活动,PC,S038,社区店,2026-03-27,22,0,,2,5
O00000081,U00613,男,28,23-30,学生会员,北京,北京,华北,P015,瑜伽垫,服饰运动,FitLife,杭州健身用品,77.8,32.91,1,0.85,0,微信支付,手机App,信息流广告,无活动,PC,S011,商场店,2026-05-03,22,0,,3,3
O00000082,U05410,女,18,18-22,银卡会员,沈阳,辽宁,东北,P010,双肩包,生活用品,CampusBag,广州行者箱包,119.56,69.44,1,1.0,5,微信支付,手机App,短视频,城市专享,PC,S010,旗舰店,2026-06-25,16,0,,1,5
O00000083,U00918,男,24,23-30,银卡会员,大连,辽宁,东北,P018,咖啡,食品饮料,BeanGo,云南咖啡供应链,41.51,24.58,2,1.0,0,信用卡,线下门店,线下到店,开学季,门店收银,S015,旗舰店,2026-06-13,8,0,,2,5
O00000084,U07720,女,21,18-22,金卡会员,北京,北京,华北,P011,台灯,生活用品,LightHome,宁波明照电器,80.08,47.26,3,1.0,20,银行卡,线上商城,老客复购,新人券,iOS,S035,仓储店,2026-06-02,19,0,,4,5
